"Plot Title: JR_NH12"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10946908, SEN S/N: 10946908)","RH, % (LGR S/N: 10946908, SEN S/N: 10946908)","Host Connected (LGR S/N: 10946908)","Stopped (LGR S/N: 10946908)","End Of File (LGR S/N: 10946908)"
165,06/05/22 12:08:06 PM,21.441,76.325,,,
166,06/05/22 01:08:06 PM,21.991,70.411,,,
167,06/05/22 02:08:06 PM,22.278,79.501,,,
168,06/05/22 03:08:06 PM,22.901,78.232,,,
169,06/05/22 04:08:06 PM,23.357,77.146,,,
170,06/05/22 05:08:06 PM,23.693,75.913,,,
171,06/05/22 06:08:06 PM,23.886,76.096,,,
172,06/05/22 07:08:06 PM,23.237,77.842,,,
173,06/05/22 08:08:06 PM,22.613,78.344,,,
174,06/05/22 09:08:06 PM,21.417,79.604,,,
175,06/05/22 10:08:06 PM,19.416,83.181,,,
176,06/05/22 11:08:06 PM,18.346,84.046,,,
177,06/06/22 12:08:06 AM,17.394,84.489,,,
178,06/06/22 01:08:06 AM,16.966,85.128,,,
179,06/06/22 02:08:06 AM,16.633,84.860,,,
180,06/06/22 03:08:06 AM,16.323,85.116,,,
181,06/06/22 04:08:06 AM,16.013,85.506,,,
182,06/06/22 05:08:06 AM,15.846,85.331,,,
183,06/06/22 06:08:06 AM,16.061,83.911,,,
184,06/06/22 07:08:06 AM,16.609,80.731,,,
185,06/06/22 08:08:06 AM,17.133,81.843,,,
186,06/06/22 09:08:06 AM,18.512,80.111,,,
187,06/06/22 10:08:06 AM,20.059,77.928,,,
188,06/06/22 11:08:06 AM,20.916,77.621,,,
189,06/06/22 12:08:06 PM,21.823,74.004,,,
190,06/06/22 01:08:06 PM,21.847,76.523,,,
191,06/06/22 02:08:06 PM,22.469,76.678,,,
192,06/06/22 03:08:06 PM,23.021,76.270,,,
193,06/06/22 04:08:06 PM,23.525,75.763,,,
194,06/06/22 05:08:06 PM,23.766,75.172,,,
195,06/06/22 06:08:06 PM,23.958,75.035,,,
196,06/06/22 07:08:06 PM,23.309,76.964,,,
197,06/06/22 08:08:06 PM,22.709,77.561,,,
198,06/06/22 09:08:06 PM,21.537,78.890,,,
199,06/06/22 10:08:06 PM,19.630,82.032,,,
200,06/06/22 11:08:06 PM,18.370,84.051,,,
201,06/07/22 12:08:06 AM,17.489,83.825,,,
202,06/07/22 01:08:06 AM,17.037,84.762,,,
203,06/07/22 02:08:06 AM,16.680,85.089,,,
204,06/07/22 03:08:06 AM,16.371,85.072,,,
205,06/07/22 04:08:06 AM,16.061,85.300,,,
206,06/07/22 05:08:06 AM,15.846,85.494,,,
207,06/07/22 06:08:06 AM,16.132,83.982,,,
208,06/07/22 07:08:06 AM,16.633,81.401,,,
209,06/07/22 08:08:06 AM,17.204,82.218,,,
210,06/07/22 09:08:06 AM,18.607,80.216,,,
211,06/07/22 10:08:06 AM,20.106,78.250,,,
212,06/07/22 11:08:06 AM,20.964,77.859,,,
213,06/07/22 12:08:06 PM,22.781,69.701,,,
214,06/07/22 01:08:06 PM,21.943,76.686,,,
215,06/07/22 02:08:06 PM,22.445,76.932,,,
216,06/07/22 03:08:06 PM,23.021,76.501,,,
217,06/07/22 04:08:06 PM,23.501,75.903,,,
218,06/07/22 05:08:06 PM,23.838,75.215,,,
219,06/07/22 06:08:06 PM,24.103,75.413,,,
