Date/Time,WW; Z108A; Climate Temperature(°F),WW; Z108A; Heating Target(°F),WW; Z108A; Cooling Target(°F),WW; Z108A; Ventilation Required(%),WW; Z108A; Heating Required(%)
2022/02/20 20:00:00,72.20,65.0,75.0,36.28,0.00
2022/02/21 02:00:00,66.50,65.0,75.0,0.00,0.22
2022/02/21 08:00:00,66.10,65.0,75.0,0.00,0.50
2022/02/21 14:00:00,76.00,65.0,75.0,57.75,0.00
2022/02/21 20:00:00,70.80,65.0,75.0,29.37,0.59
2022/02/22 02:00:00,64.80,65.0,75.0,0.00,32.49
2022/02/22 08:00:00,64.90,65.0,75.0,0.00,70.49
2022/02/22 14:00:00,68.20,65.0,75.0,1.01,18.28
2022/02/22 20:00:00,69.00,65.0,75.0,4.51,15.47
2022/02/23 02:00:00,63.30,65.0,75.0,0.00,84.18
2022/02/23 08:00:00,64.90,65.0,75.0,0.00,88.40
2022/02/23 14:00:00,71.60,65.0,75.0,10.49,8.46
2022/02/23 20:00:00,69.60,65.0,75.0,17.31,13.51
2022/02/24 02:00:00,64.50,65.0,75.0,0.00,60.59
2022/02/24 08:00:00,65.40,65.0,75.0,0.00,52.02
2022/02/24 14:00:00,66.30,65.0,75.0,0.00,10.22
2022/02/24 20:00:00,66.50,65.0,75.0,0.00,9.23
2022/02/25 02:00:00,64.70,65.0,75.0,0.00,44.77
2022/02/25 08:00:00,65.10,65.0,75.0,0.00,54.02
2022/02/25 14:00:00,75.40,65.0,75.0,37.14,1.39
2022/02/25 20:00:00,71.00,65.0,75.0,23.78,5.05
2022/02/26 02:00:00,64.90,65.0,75.0,0.00,28.55
2022/02/26 08:00:00,65.10,65.0,75.0,0.00,38.97
2022/02/26 14:00:00,77.50,65.0,75.0,50.20,0.33
2022/02/26 20:00:00,73.10,65.0,75.0,33.73,0.28
2022/02/27 02:00:00,65.40,65.0,75.0,0.00,15.43
2022/02/27 08:00:00,65.10,65.0,75.0,0.00,27.93
2022/02/27 14:00:00,80.40,65.0,75.0,59.38,0.02
2022/02/27 20:00:00,75.50,65.0,75.0,43.81,0.04
2022/02/28 02:00:00,65.90,65.0,75.0,0.00,6.91
2022/02/28 08:00:00,65.20,65.0,75.0,0.00,14.23
2022/02/28 14:00:00,74.90,65.0,75.0,46.18,0.00
2022/02/28 20:00:00,72.30,65.0,75.0,34.08,0.00
2022/03/01 02:00:00,66.60,65.0,75.0,0.00,0.96
2022/03/01 08:00:00,65.50,65.0,75.0,0.00,6.40
2022/03/01 14:00:00,77.60,65.0,75.0,63.35,0.00
2022/03/01 20:00:00,76.40,65.0,75.0,52.08,0.00
2022/03/02 02:00:00,66.70,65.0,75.0,0.00,0.21
2022/03/02 08:00:00,66.30,65.0,75.0,0.00,0.35
2022/03/02 14:00:00,79.60,65.0,75.0,66.43,0.00
2022/03/02 20:00:00,78.90,65.0,75.0,56.52,0.00
2022/03/03 02:00:00,66.80,65.0,75.0,0.00,0.09
2022/03/03 08:00:00,66.10,65.0,75.0,0.00,2.65
2022/03/03 14:00:00,76.60,65.0,75.0,56.45,0.02
2022/03/03 20:00:00,73.90,65.0,75.0,43.83,0.00
2022/03/04 02:00:00,65.90,65.0,75.0,0.00,4.68
2022/03/04 08:00:00,65.40,65.0,75.0,0.00,10.29
2022/03/04 14:00:00,75.00,65.0,75.0,54.79,0.00
2022/03/04 20:00:00,73.40,65.0,75.0,15.80,0.00
2022/03/05 02:00:00,68.20,65.0,75.0,0.00,0.00
2022/03/05 08:00:00,67.30,65.0,75.0,0.00,0.00
2022/03/05 14:00:00,81.90,65.0,75.0,62.72,0.00
2022/03/05 20:00:00,72.90,65.0,75.0,35.69,0.14
2022/03/06 02:00:00,65.20,65.0,75.0,0.00,18.09
2022/03/06 08:00:00,65.10,65.0,75.0,0.00,24.88
2022/03/06 14:00:00,72.80,65.0,75.0,4.90,0.01
2022/03/06 20:00:00,65.80,65.0,75.0,0.00,24.78
2022/03/07 02:00:00,64.90,65.0,75.0,0.00,31.62
2022/03/07 08:00:00,65.20,65.0,75.0,0.00,37.42
